keyword,job_id,title,company,province,city,salary_visible,internship,remote,urgent,experience_years
python,1396130,برنامه نویس Python,بارکس,تهران,تهران,False,False,False,True,5
python,1401623,Senior Backend Engineer(Python/FastAPI)- Shoraka,بیمه بازار,تهران,تهران,False,False,True,True,3
python,1436012,برنامه نویس Python,ارتباطات فرهنگ آزما,تهران,تهران,False,False,False,False,2
python,1390562,برنامه نویس بک‌اند (Python/Django),شرکت بیمۀ زندگی باران,تهران,تهران,False,False,False,True,3
python,1429358,برنامه نویس Python,شرکت پیشگامان توسعه ارتباطات,تهران,تهران,False,False,False,False,2
python,1427292,استخدام برنامه نویس پایتون,دونوکو,تهران,تهران,False,False,False,True,1
python,1431101,برنامه نویس Python,سازمانی فعال در حوزه خدمات مهندسی و تخصصی,تهران,تهران,True,False,False,True,1
python,1436615,Backend Developer (Python),شرکت فعال در حوزه تلکام,تهران,تهران,True,False,False,False,4
python,1436527,توسعه‌دهنده Python,پارادایس هاب,تهران,تهران,False,False,False,False,3
python,1423670,توسعه‌دهنده بک‌اند (Python) - آقا,استارتاپ نمو,تهران,تهران,False,False,True,True,2
python,1435910,برنامه‌نویس بک‌اند (Python),شرکت تامین خدمات سیستم‌های کاربردی کاسپین,تهران,تهران,False,False,False,True,3
python,1451420,Senior Python Developer,آسان بار,تهران,تهران,False,False,False,True,8
python,1430602,برنامه نویس پایتون,داتین,تهران,پردیس,False,False,False,True,3
python,1400910,Back-End Developer (Python/Django),مهربان پاییز یوتاب,تهران,تهران,True,False,False,True,2
python,1446259,برنامه‌نویس بک‌اند (Django),مجموعه اکسالیس,تهران,تهران,False,False,False,True,3
python,1417058,توسعه‌دهنده بک‌اند Python,شرکت پردازش داده کوانتوم,تهران,تهران,False,False,False,False,2
python,1423451,توسعه‌دهنده ارشد پایتون,پژوهشگاه الکترونیک و مخابرات نصر,تهران,تهران,False,False,False,True,3
python,1429330,برنامه‌نویس Back-End (Python),پارس تصمیم,تهران,تهران,True,False,False,False,3
python,1402040,برنامه نویس Backend Python,امید فضا,تهران,تهران,True,False,True,False,2
python,1413963,Senior Backend Developer (Python),گروه MCI NEXT,تهران,تهران,False,False,False,True,5
python,1382900,برنامه نویس رزبری پای,شرکت طراحی نگاراندیشگان,تهران,پردیس,False,False,False,True,1
python,1406735,Software Engineer (Python),فیوتریکس(فناوری های پیشرفته هوش مصنوعی فرا نگار),البرز,کرج,True,False,False,True,4
python,1428869,مهندس نرم‌افزار (Back-End Python),بیمه زندگی خاورمیانه,تهران,تهران,False,False,False,False,1
python,1404886,Senior Software Engineer (Django),ملی‌گلد,تهران,تهران,False,False,False,True,4
python,1427166,توسعه‌دهنده ارشد بک‌اند (Python),فن آوران هوشمند دانش پژوه,تهران,تهران,True,False,False,True,5
python,1410144,Senior Back-End Developer (Python),گل گیفت,تهران,تهران,False,False,False,True,6
python,1307776,برنامه نویس پایتون,شرکت کلان داده پویان نوین,اصفهان,اصفهان,False,False,False,True,0
python,1418351,برنامه‌نویس اتوماسیون شبکه (پایتون),گسترش فناوری های نوین,تهران,تهران,False,False,False,False,3
python,1441281,توسعه‌دهنده تست خودکار (Python),نوآوران امن اندیش شریف,تهران,تهران,False,False,False,False,3
python,1424386,برنامه‌نویس Django,شرکت  دانش بنیان داده پرداز ماکان سیستم دانشمند,اصفهان,اصفهان,False,False,False,True,3
python,1426370,برنامه‌نویس Python/Odoo,گروه بازرگانی بی نی سی,تهران,تهران,False,False,False,True,3
python,1441348,Python/Manim Developer,Simulation Theory,فارس,شیراز,True,False,True,True,2
python,1440000,توسعه‌دهنده بک‌اند Django,رایانش سریع هزاره ایرانیان (ASTEK),یزد,یزد,False,False,False,True,3
python,1202448,برنامه نویس Back-End (Python) - خانم,امداد خودرو ایران دفتر دانشوری کد10010,تهران,تهران,True,False,False,True,0
python,1432389,"برنامه نویس Back-End (Python, Django)",کاوشگران همراه کیش,تهران,تهران,True,False,False,False,3
python,1423486,Senior Back-End Developer (Django) - آقا,ماها,تهران,تهران,True,False,False,True,5
python,1451397,برنامه نویس Python,صنعت پوشاک آوید,تهران,شهر قدس,False,False,False,True,1
python,1409990,Senior Python/Django Technical Lead (Future CTO Track),آوا مهد تدبیر,تهران,تهران,True,False,False,True,5
python,1425713,Automation & Bot Systems Engineer (Python),نیرو ساخت ناردین,آذربایجان شرقی,تبریز,True,False,True,True,3
python,1406843,Software Engineer (Back-End),توسعه و تدبیر جوامع سلام (باسلام),قم,قم,False,False,False,True,3
python,1395897,برنامه‌نویس بک‌اند,شرکت کلان داده پویان نوین,اصفهان,اصفهان,False,False,False,True,1
python,1413275,کارشناس ارشد بک‌اند پایتون,هوش پرداز پارس تک,خراسان رضوی,مشهد,True,False,False,True,2
python,1434834,Senior Backend Developer (FastAPI),کاریزما,تهران,تهران,False,False,False,False,5
python,1444073,Backend Developer,دیوید جونز,تهران,تهران,False,False,False,True,3
python,1440130,SRE Engineer,هونام پرتو اندیشان ماز,تهران,تهران,False,False,False,True,2
python,1409287,Senior Back-End Developer (Python),سامانه خلاق شریف,تهران,تهران,True,False,False,False,2
